Time,Customer,Facility,GrowthRate
01-01-2023,Customer1,Facility1,0
02-01-2023,Customer1,Facility1,0.000691457
03-01-2023,Customer1,Facility1,0.000691457
04-01-2023,Customer1,Facility1,0.000691457
05-01-2023,Customer1,Facility1,0.001172931
06-01-2023,Customer1,Facility1,0.001174066
07-01-2023,Customer1,Facility1,0.001174066
08-01-2023,Customer1,Facility1,0.001174066
09-01-2023,Customer1,Facility1,0.002356028
10-01-2023,Customer1,Facility1,0.002356028
11-01-2023,Customer1,Facility1,0.002356028
12-01-2023,Customer1,Facility1,0.002356028
13-01-2023,Customer1,Facility1,0.002356028
14-01-2023,Customer1,Facility1,0.00958926
15-01-2023,Customer1,Facility1,0.00958926
16-01-2023,Customer1,Facility1,0.00958926
17-01-2023,Customer1,Facility1,0.00958926
18-01-2023,Customer1,Facility1,0.00958926
19-01-2023,Customer1,Facility1,0.00958926
20-01-2023,Customer1,Facility1,0.00958926
21-01-2023,Customer1,Facility1,0.00958926
22-01-2023,Customer1,Facility1,0.00958926
23-01-2023,Customer1,Facility1,0.00958926
24-01-2023,Customer1,Facility1,0.00958926
25-01-2023,Customer1,Facility1,0.00958926
26-01-2023,Customer1,Facility1,0.00958926
27-01-2023,Customer1,Facility1,0.00958926
28-01-2023,Customer1,Facility1,0.00958926
29-01-2023,Customer1,Facility1,0.00958926
30-01-2023,Customer1,Facility1,0.00958926
31-01-2023,Customer1,Facility1,0.00958926
01-02-2023,Customer1,Facility1,0.00958926
02-02-2023,Customer1,Facility1,0.00958926
03-02-2023,Customer1,Facility1,0.00958926
04-02-2023,Customer1,Facility1,0.00958926
05-02-2023,Customer1,Facility1,0.00958926
06-02-2023,Customer1,Facility1,0.00958926
07-02-2023,Customer1,Facility1,0.009983519
08-02-2023,Customer1,Facility1,0.009983519
09-02-2023,Customer1,Facility1,0.009983519
10-02-2023,Customer1,Facility1,0.009983519
11-02-2023,Customer1,Facility1,0.009983519
12-02-2023,Customer1,Facility1,0.009983519
13-02-2023,Customer1,Facility1,0.009983519
14-02-2023,Customer1,Facility1,0.009983519
15-02-2023,Customer1,Facility1,0.009983519
16-02-2023,Customer1,Facility1,0.009983519
17-02-2023,Customer1,Facility1,0.009983519
18-02-2023,Customer1,Facility1,0.009983519
19-02-2023,Customer1,Facility1,0.009983519
20-02-2023,Customer1,Facility1,0.009983519
21-02-2023,Customer1,Facility1,0.009983519
22-02-2023,Customer1,Facility1,0.009983519
23-02-2023,Customer1,Facility1,0.009983519
24-02-2023,Customer1,Facility1,0.009983519
25-02-2023,Customer1,Facility1,0.009983519
26-02-2023,Customer1,Facility1,0.009983519
27-02-2023,Customer1,Facility1,0.009983519
28-02-2023,Customer1,Facility1,0.009983519
01-03-2023,Customer1,Facility1,0.009983519
02-03-2023,Customer1,Facility1,0.009983519
03-03-2023,Customer1,Facility1,0.009983519
04-03-2023,Customer1,Facility1,0.009983519
05-03-2023,Customer1,Facility1,0.009983519
06-03-2023,Customer1,Facility1,0.009983519
07-03-2023,Customer1,Facility1,0.009983519
08-03-2023,Customer1,Facility1,0.009983519
09-03-2023,Customer1,Facility1,0.009983519
10-03-2023,Customer1,Facility1,0.009983519
11-03-2023,Customer1,Facility1,0.009983519
12-03-2023,Customer1,Facility1,0.009983519
13-03-2023,Customer1,Facility1,0.009983519
14-03-2023,Customer1,Facility1,0.009983519
